//char	type	Width	Filename
(	item	4	FontItem(_28.png
ﾌ	item	6	FontItemﾌ_CC.png
ｫ	item	6	FontItemｫ_AB.png
ﾚ	item	6	FontItemﾚ_DA.png
ｽ	item	6	FontItemｽ_BD.png
ﾄ	item	6	FontItemﾄ_C4.png
ﾅ	item	6	FontItemﾅ_C5.png
ｲ	item	6	FontItemｲ_B2.png
)	item	4	FontItem)_29.png
ﾞ	item	4	FontItemﾞ_DE.png
ﾗ	item	6	FontItemﾗ_D7.png
ｺ	item	6	FontItemｺ_BA.png
ﾝ	item	6	FontItemﾝ_DD.png
ﾏ	item	6	FontItemﾏ_CF.png
ﾀ	item	6	FontItemﾀ_C0.png
ｰ	item	6	FontItemｰ_B0.png
ﾜ	item	6	FontItemﾜ_DC.png
ﾊ	item	6	FontItemﾊ_CA.png
ｧ	item	6	FontItemｧ_A7.png
ﾙ	item	6	FontItemﾙ_D9.png
ﾓ	item	6	FontItemﾓ_D3.png
ｻ	item	6	FontItemｻ_BB.png
ｩ	item	6	FontItemｩ_A9.png
ｸ	item	6	FontItemｸ_B8.png
ﾃ	item	6	FontItemﾃ_C3.png
ｶ	item	6	FontItemｶ_B6.png
ｿ	item	6	FontItemｿ_BF.png
ﾋ	item	6	FontItemﾋ_CB.png
ﾑ	item	6	FontItemﾑ_D1.png
M	item	9	FontItemM_4D.png
#	item	8	FontItem#_23.png
0	item	7	FontItem0_30.png
如	item	12	FontItem如_4094.png
邸	item	12	FontItem邸_4093.png
宗	item	12	FontItem宗_408F.png
繊	item	12	FontItem繊_4091.png
諭	item	12	FontItem諭_4097.png
后	item	12	FontItem后_408D.png
鼻	item	12	FontItem鼻_4095.png
魁	item	12	FontItem魁_408A.png
拭	item	12	FontItem拭_4090.png
2	item	7	FontItem2_32.png
4	item	7	FontItem4_34.png
/	item	6	FontItem__2F.png
9	item	7	FontItem9_39.png
T	item	7	FontItemT_54.png
H	item	8	FontItemH_48.png
U	item	8	FontItemU_55.png
 	item	1	FontItem _20.png
1	item	5	FontItem1_31.png
3	item	7	FontItem3_33.png
:	item	3	FontItem__3A.png
5	item	7	FontItem5_35.png
6	item	7	FontItem6_36.png
就	item	12	FontItem就_418F.png
植	item	12	FontItem植_4190.png
尿	item	12	FontItem尿_4194.png
鄭	item	12	FontItem鄭_4193.png
泡	item	12	FontItem泡_4196.png
喉	item	12	FontItem喉_418D.png
但	item	12	FontItem但_4192.png
廣	item	12	FontItem廣_419C.png
拶	item	12	FontItem拶_418E.png
羨	item	12	FontItem羨_4191.png
錬	item	12	FontItem錬_4298.png
州	item	12	FontItem州_428F.png
撮	item	12	FontItem撮_428E.png
械	item	12	FontItem械_428A.png
殖	item	12	FontItem殖_4290.png
毅	item	12	FontItem毅_428B.png
坑	item	12	FontItem坑_428D.png
韮	item	12	FontItem韮_4294.png
釘	item	12	FontItem釘_4293.png
咤	item	12	FontItem咤_429A.png
腺	item	12	FontItem腺_4291.png
砲	item	12	FontItem砲_4396.png
匹	item	12	FontItem匹_4395.png
擦	item	12	FontItem擦_438E.png
靴	item	12	FontItem靴_438C.png
