//char	type	Width	Filename
ァ	item	7	FontItem_E382A1.png
ⅰ	item	7	FontItem_E285B0.png
　	item	8	FontItem_E38080.png
法	item	8	FontItem_E6B395.png
院	item	9	FontItem_E999A2.png
機	item	8	FontItem_E6A99F.png
掘	item	9	FontItem_E68E98.png
叩	item	8	FontItem_E58FA9.png
①	item	8	FontItem_E291A0.png
蓮	item	8	FontItem_E893AE.png
ア	item	7	FontItem_E382A2.png
ⅱ	item	7	FontItem_E285B1.png
、	item	6	FontItem_E38081.png
陰	item	9	FontItem_E999B0.png
連	item	8	FontItem_E980A3.png
帰	item	9	FontItem_E5B8B0.png
②	item	8	FontItem_E291A1.png
輸	item	9	FontItem_E8BCB8.png
窟	item	8	FontItem_E7AA9F.png
ィ	item	7	FontItem_E382A3.png
ⅲ	item	7	FontItem_E285B2.png
。	item	7	FontItem_E38082.png
唯	item	8	FontItem_E594AF.png
達	item	8	FontItem_E98194.png
隠	item	8	FontItem_E99AA0.png
③	item	8	FontItem_E291A2.png
イ	item	7	FontItem_E382A4.png
ⅳ	item	7	FontItem_E285B3.png
，	item	6	FontItem_EFBC8C.png
気	item	8	FontItem_E6B097.png
海	item	8	FontItem_E6B5B7.png
修	item	9	FontItem_E4BFAE.png
任	item	8	FontItem_E4BBBB.png
④	item	8	FontItem_E291A3.png
ゥ	item	7	FontItem_E382A5.png
ⅴ	item	7	FontItem_E285B4.png
．	item	8	FontItem_EFBC8E.png
好	item	8	FontItem_E5A5BD.png
奪	item	9	FontItem_E5A5AA.png
織	item	9	FontItem_E7B994.png
泥	item	8	FontItem_E6B3A5.png
優	item	9	FontItem_E584AA.png
⑤	item	8	FontItem_E291A4.png
灰	item	8	FontItem_E781B0.png
船	item	10	FontItem_E888B9.png
ウ	item	7	FontItem_E382A6.png
ⅵ	item	7	FontItem_E285B5.png
・	item	7	FontItem_E383BB.png
勇	item	7	FontItem_E58B87.png
殺	item	9	FontItem_E6AEBA.png
界	item	9	FontItem_E7958C.png
脱	item	9	FontItem_E884B1.png
職	item	10	FontItem_E881B7.png
右	item	8	FontItem_E58FB3.png
⑥	item	8	FontItem_E291A5.png
ェ	item	7	FontItem_E382A7.png
ⅶ	item	7	FontItem_E285B6.png
：	item	7	FontItem_EFBC9A.png
友	item	8	FontItem_E58F8B.png
皆	item	8	FontItem_E79A86.png
認	item	9	FontItem_E8AA8D.png
孝	item	9	FontItem_E5AD9D.png
⑦	item	8	FontItem_E291A6.png
色	item	8	FontItem_E889B2.png
祈	item	9	FontItem_E7A588.png
エ	item	8	FontItem_E382A8.png
ⅷ	item	7	FontItem_E285B7.png
敵	item	9	FontItem_E695B5.png
雑	item	8	FontItem_E99B91.png
⑧	item	8	FontItem_E291A7.png
秀	item	8	FontItem_E7A780.png
触	item	10	FontItem_E8A7A6.png
ォ	item	8	FontItem_E382A9.png
ⅸ	item	7	FontItem_E285B8.png
？	item	7	FontItem_EFBC9F.png
路	item	8	FontItem_E8B7AF.png
⑨	item	8	FontItem_E291A8.png
羽	item	8	FontItem_E7BEBD.png
稀	item	9	FontItem_E7A880.png
食	item	9	FontItem_E9A39F.png
オ	item	8	FontItem_E382AA.png
ⅹ	item	7	FontItem_E285B9.png
！	item	6	FontItem_EFBC81.png
的	item	8	FontItem_E79A84.png
選	item	8	FontItem_E981B8.png
終	item	8	FontItem_E7B582.png
蜂	item	8	FontItem_E89C82.png
⑩	item	8	FontItem_E291A9.png
悠	item	9	FontItem_E682A0.png
カ	item	7	FontItem_E382AB.png
谷	item	8	FontItem_E8B0B7.png
開	item	8	FontItem_E9968B.png
労	item	8	FontItem_E58AB4.png
雨	item	8	FontItem_E99BA8.png
⑪	item	8	FontItem_E291AA.png
゛	item	6	FontItem_E3829B.png
絆	item	9	FontItem_E7B586.png
笛	item	8	FontItem_E7AC9B.png
ガ	item	8	FontItem_E382AC.png
揖	item	6	FontItem_E68F96.png
必	item	8	FontItem_E5BF85.png
幸	item	8	FontItem_E5B9B8.png
訪	item	8	FontItem_E8A8AA.png
規	item	8	FontItem_E8A68F.png
階	item	8	FontItem_E99A8E.png
⑫	item	8	FontItem_E291AB.png
゜	item	6	FontItem_E3829C.png
習	item	8	FontItem_E7BF92.png
キ	item	7	FontItem_E382AD.png
豊	item	8	FontItem_E8B18A.png
記	item	8	FontItem_E8A898.png
有	item	8	FontItem_E69C89.png
広	item	8	FontItem_E5BA83.png
⑬	item	8	FontItem_E291AC.png
猫	item	8	FontItem_E78CAB.png
伸	item	9	FontItem_E4BCB8.png
ギ	item	8	FontItem_E382AE.png
貴	item	8	FontItem_E8B2B4.png
信	item	8	FontItem_E4BFA1.png
熱	item	9	FontItem_E786B1.png
凱	item	9	FontItem_E587B1.png
勲	item	9	FontItem_E58BB2.png
⑭	item	8	FontItem_E291AD.png
ク	item	7	FontItem_E382AF.png
年	item	8	FontItem_E5B9B4.png
侵	item	9	FontItem_E4BEB5.png
起	item	8	FontItem_E8B5B7.png
君	item	8	FontItem_E5909B.png
誰	item	8	FontItem_E8AAB0.png
⑮	item	8	FontItem_E291AE.png
朗	item	8	FontItem_E69C97.png
グ	item	8	FontItem_E382B0.png
０	item	8	FontItem_EFBC90.png
前	item	8	FontItem_E5898D.png
外	item	8	FontItem_E5A496.png
念	item	8	FontItem_E5BFB5.png
三	item	8	FontItem_E4B889.png
⑯	item	8	FontItem_E291AF.png
ケ	item	8	FontItem_E382B1.png
１	item	8	FontItem_EFBC91.png
姫	item	9	FontItem_E5A7AB.png
善	item	8	FontItem_E59684.png
単	item	8	FontItem_E58D98.png
⑰	item	8	FontItem_E291B0.png
襲	item	9	FontItem_E8A5B2.png
輝	item	9	FontItem_E8BC9D.png
訓	item	9	FontItem_E8A893.png
ゲ	item	8	FontItem_E382B2.png
２	item	8	FontItem_EFBC92.png
嘆	item	9	FontItem_E59886.png
参	item	8	FontItem_E58F82.png
害	item	8	FontItem_E5AEB3.png
浪	item	8	FontItem_E6B5AA.png
群	item	8	FontItem_E7BEA4.png
⑱	item	8	FontItem_E291B1.png
渦	item	9	FontItem_E6B8A6.png
コ	item	6	FontItem_E382B3.png
３	item	8	FontItem_EFBC93.png
