//char	type	Width	Filename
 	item	3	FontItem_20.png
!	item	4	FontItem_21.png
"	item	4	FontItem_22.png
#	item	6	FontItem_23.png
$	item	6	FontItem_24.png
%	item	6	FontItem_25.png
&	item	6	FontItem_26.png
'	item	2	FontItem_27.png
(	item	4	FontItem_28.png
)	item	4	FontItem_29.png
*	item	6	FontItem_2A.png
+	item	6	FontItem_2B.png
,	item	2	FontItem_2C.png
-	item	4	FontItem_2D.png
.	item	2	FontItem_2E.png
/	item	5	FontItem_2F.png
0	item	7	FontItem_30.png
1	item	7	FontItem_31.png
2	item	7	FontItem_32.png
3	item	7	FontItem_33.png
4	item	7	FontItem_34.png
5	item	7	FontItem_35.png
6	item	7	FontItem_36.png
7	item	7	FontItem_37.png
8	item	7	FontItem_38.png
9	item	7	FontItem_39.png
:	item	2	FontItem_3A.png
;	item	2	FontItem_3B.png
<	item	5	FontItem_3C.png
=	item	4	FontItem_3D.png
>	item	5	FontItem_3E.png
?	item	6	FontItem_3F.png
@	item	6	FontItem_40.png
A	item	5	FontItem_41.png
B	item	5	FontItem_42.png
C	item	5	FontItem_43.png
D	item	5	FontItem_44.png
E	item	5	FontItem_45.png
F	item	5	FontItem_46.png
G	item	5	FontItem_47.png
H	item	5	FontItem_48.png
I	item	2	FontItem_49.png
J	item	5	FontItem_4A.png
K	item	5	FontItem_4B.png
L	item	5	FontItem_4C.png
M	item	6	FontItem_4D.png
N	item	5	FontItem_4E.png
O	item	5	FontItem_4F.png
P	item	5	FontItem_50.png
Q	item	6	FontItem_51.png
R	item	5	FontItem_52.png
S	item	5	FontItem_53.png
T	item	6	FontItem_54.png
U	item	5	FontItem_55.png
V	item	6	FontItem_56.png
W	item	6	FontItem_57.png
X	item	6	FontItem_58.png
Y	item	6	FontItem_59.png
Z	item	5	FontItem_5A.png
[	item	3	FontItem_5B.png
\	item	6	FontItem_5C.png
]	item	3	FontItem_5D.png
^	item	4	FontItem_5E.png
_	item	4	FontItem_5F.png
`	item	2	FontItem_60.png
a	item	6	FontItem_61.png
b	item	5	FontItem_62.png
c	item	5	FontItem_63.png
d	item	5	FontItem_64.png
e	item	5	FontItem_65.png
f	item	4	FontItem_66.png
g	item	5	FontItem_67.png
h	item	5	FontItem_68.png
i	item	2	FontItem_69.png
j	item	4	FontItem_6A.png
k	item	5	FontItem_6B.png
l	item	2	FontItem_6C.png
m	item	6	FontItem_6D.png
n	item	5	FontItem_6E.png
o	item	5	FontItem_6F.png
p	item	5	FontItem_70.png
q	item	5	FontItem_71.png
r	item	4	FontItem_72.png
s	item	5	FontItem_73.png
t	item	4	FontItem_74.png
u	item	5	FontItem_75.png
v	item	6	FontItem_76.png
w	item	6	FontItem_77.png
x	item	6	FontItem_78.png
y	item	5	FontItem_79.png
z	item	5	FontItem_7A.png
{	item	4	FontItem_7B.png
|	item	2	FontItem_7C.png
}	item	4	FontItem_7D.png
~	item	6	FontItem_7E.png
	item	6	FontItem_7F.png
	item	7	FontItem_C28C.png
	item	3	FontItem_C291.png
	item	2	FontItem_C292.png
	item	5	FontItem_C293.png
	item	4	FontItem_C294.png
	item	7	FontItem_C29C.png
¡	item	4	FontItem_C2A1.png
ª	item	5	FontItem_C2AA.png
«	item	6	FontItem_C2AB.png
º	item	4	FontItem_C2BA.png
»	item	6	FontItem_C2BB.png
¿	item	6	FontItem_C2BF.png
À	item	5	FontItem_C380.png
Á	item	5	FontItem_C381.png
Â	item	5	FontItem_C382.png
Ä	item	5	FontItem_C384.png
Ç	item	6	FontItem_C387.png
È	item	5	FontItem_C388.png
É	item	5	FontItem_C389.png
Ê	item	5	FontItem_C38A.png
Ë	item	5	FontItem_C38B.png
Ì	item	3	FontItem_C38C.png
Í	item	3	FontItem_C38D.png
Î	item	4	FontItem_C38E.png
Ï	item	4	FontItem_C38F.png
Ñ	item	5	FontItem_C391.png
Ò	item	5	FontItem_C392.png
Ó	item	5	FontItem_C393.png
Ô	item	5	FontItem_C394.png
Ö	item	5	FontItem_C396.png
Ù	item	5	FontItem_C399.png
Ú	item	5	FontItem_C39A.png
Û	item	5	FontItem_C39B.png
Ü	item	5	FontItem_C39C.png
ß	item	6	FontItem_C39F.png
à	item	6	FontItem_C3A0.png
á	item	6	FontItem_C3A1.png
â	item	6	FontItem_C3A2.png
ä	item	6	FontItem_C3A4.png
ç	item	5	FontItem_C3A7.png
è	item	5	FontItem_C3A8.png
é	item	5	FontItem_C3A9.png
ê	item	5	FontItem_C3AA.png
ë	item	5	FontItem_C3AB.png
ì	item	3	FontItem_C3AC.png
í	item	3	FontItem_C3AD.png
î	item	4	FontItem_C3AE.png
ï	item	4	FontItem_C3AF.png
ñ	item	5	FontItem_C3B1.png
ò	item	5	FontItem_C3B2.png
ó	item	5	FontItem_C3B3.png
ô	item	5	FontItem_C3B4.png
ö	item	5	FontItem_C3B6.png
ù	item	5	FontItem_C3B9.png
ú	item	5	FontItem_C3BA.png
û	item	5	FontItem_C3BB.png
ü	item	5	FontItem_C3BC.png
 	text	4	FontText_20.png
!	text	3	FontText_21.png
"	text	5	FontText_22.png
#	text	8	FontText_23.png
$	text	6	FontText_24.png
%	text	8	FontText_25.png
&	text	7	FontText_26.png
'	text	2	FontText_27.png
(	text	4	FontText_28.png
)	text	4	FontText_29.png
